"Direction","gene","log2FoldChange","padj"
"Up","FEZF2",5.35651544363332,3.17597892582521e-12
"Up","JPH3",4.56969412882743,2.76124463744466e-05
"Up","ZFHX3",4.44483908905007,7.274617629899e-19
"Up","MEIS2",3.13732031612146,4.15888494496271e-15
"Up","EGR3",2.75458351917426,4.78815028572949e-10
"Up","HMGB3",2.71798413600207,5.47718271905481e-06
"Up","RPL17-C18orf32",2.61187186773256,4.24281304547251e-05
"Up","FAM83A",2.39779229631242,4.21730213198928e-26
"Up","SCAF8",2.14133007933721,4.00191223898095e-15
"Up","PTCH2",1.90382924915934,7.37358290377528e-14
"Up","PKNOX2",1.90251572669593,1.01757591590807e-06
"Up","PDIA6",1.89406050606709,0.0164747283473132
"Up","HMGB1P5",1.82682551180616,0.000820752406333371
"Up","WDR74",1.72473866831012,9.1741023279006e-15
"Up","DMXL1",1.57184441775919,3.22779153039064e-15
"Down","GMPR",-2.11050597765044,5.37987906672236e-05
"Down","HBQ1",-1.9795180626797,0.0147517803876707
"Down","ITPRIPL2",-1.73011141454845,6.13781568354086e-05
"Down","HBM",-1.62020077430486,0.00404086206415244
"Down","IGHA2",-1.61780280534299,3.80501394861042e-05
"Down","ROCK1P1",-1.49627709863248,0.000954844086663571
"Down","RPL29",-1.46317267526403,5.75583630631552e-08
"Down","MAFIP",-1.4391288309646,0.00601814707970652
"Down","PRX",-1.43878101029017,1.84250154817836e-05
"Down","BICRA",-1.39818817294153,1.52007189382896e-10
"Down","TET3",-1.39398482236894,2.84145235585504e-11
"Down","FCGBP",-1.38308849975373,1.1057033973327e-07
"Down","TRIM74",-1.38101994138652,0.00234890487799425
"Down","ENG",-1.34288315076246,1.94497019442553e-09
"Down","IFI27",-1.27603270698316,0.000193740032405712
